"feature","f_stat","p_value"
"hemoglobin",3986.6132667049,0
"height_cm",3652.43331300832,0
"weight_kg",2338.5337593108,0
"Gtp",2021.77466706392,0
"triglyceride",1683.75946681098,0
"serum_creatinine",1641.35419776933,0
"waist_cm",1277.61501813139,5.48981450136904e-266
"HDL",1097.62090194933,2.16229531568335e-230
"ALT",745.975253755701,2.12770526076097e-159
"age",437.29410961629,2.09245137002263e-95
"relaxation",301.205405314383,1.16960749950088e-66
"dental_caries",214.152559336798,4.42495887740062e-48
"eyesight_right",204.911831911463,4.24024164989267e-46
"systolic",192.878960882449,1.6236209978356e-43
"eyesight_left",181.744887188441,4.01450024729651e-41
"AST",128.160694142891,1.46177848888658e-29
"fasting_blood_sugar",104.030764536955,2.50337527619641e-24
"LDL",15.3271442132316,9.09081122213918e-05
"Cholesterol",10.6976300636992,0.0010757549515704
"hearing_right",0.862377253495056,0.353092969827593
"id",0.305369778964119,0.580545765529954
"Urine_protein",0.259331555227273,0.610589122837557
"hearing_left",0.160076356625327,0.689093349731049
