"feature","mutual_info"
"hemoglobin",0.167355384268669
"height_cm",0.155921849876046
"Gtp",0.120929766470353
"weight_kg",0.0983720780913462
"serum_creatinine",0.0844221186647474
"triglyceride",0.0759740527451864
"waist_cm",0.0567514864667382
"HDL",0.0463729774139159
"ALT",0.0399377386700994
"age",0.0236747186378663
"relaxation",0.0165412471978152
"systolic",0.0132520127871434
"eyesight_right",0.0110145958585237
"eyesight_left",0.0097428019436272
"fasting_blood_sugar",0.00946284076047288
"dental_caries",0.00846751077394359
"AST",0.00693769486616613
"LDL",0.00325014400161727
"Cholesterol",0.00280643889960874
"id",0.00160096678085164
"hearing_right",3.68786667515053e-05
"hearing_left",6.73859816124889e-06
"Urine_protein",3.6364786382137e-07
