"feature","cor_weight","anova_weight","rf_weight","combined"
"hemoglobin",1,1,1,1
"height_cm",0.9670944974518,0.916171108065266,0.741295196575527,0.874853600697531
"Gtp",0.758639526173225,0.507121115983976,0.695041304424914,0.653600648860705
"weight_kg",0.807311739096848,0.586579992614911,0.312881929933786,0.568924553881849
"triglyceride",0.700261993989866,0.422330154165757,0.577324730341316,0.56663895949898
"serum_creatinine",0.692379628247302,0.4116928113909,0.34384477335427,0.482639070997491
"waist_cm",0.618394985807187,0.320449000848084,0.30490624444346,0.414583410366243
"HDL",0.576615173707083,0.275297557299758,0.3175005071451,0.389804412717314
"ALT",0.480662498230292,0.187087403711347,0.284430296552854,0.317393399498164
"age",0.370896881339232,0.109654876750597,0.234775919417827,0.238442559169219
"relaxation",0.308299678957425,0.0755170861372782,0.229228100220431,0.204348288438378
"systolic",0.24635639073163,0.0483434459966622,0.243927293251065,0.179542376659786
"AST",0.200005427344066,0.0321088977279783,0.236248605577397,0.156120976883147
"fasting_blood_sugar",0.179652464990731,0.0260559156775789,0.259680528934133,0.155129636534147
"eyesight_right",0.254022064000314,0.0513618863130184,0.14553826026258,0.150307403525304
"eyesight_left",0.239036882853529,0.0455504685898374,0.148755383624999,0.144447578356122
"dental_caries",0.259749790697779,0.0536799186550784,0.0530206436866684,0.122150117679842
"LDL",0.0646824545787323,0.00380465218890008,0.294319657983958,0.12093558825053
"Cholesterol",0.052837159796037,0.0026433406348748,0.285815182818163,0.113765227749692
"id",0.00280841244282122,3.64467900163903e-05,0.305888754954575,0.102911204729138
"hearing_right",0.00973287815073343,0.000176171865900769,0.000196152352587277,0.00336840078974049
"Urine_protein",0.00201000742829975,2.48981221809543e-05,0.006003637385207,0.0026795143118959
"hearing_left",0,0,0,0
